Code,Name,ParentCategoryCode,ParentCategoryName,ParentCategoryDescription
24312,CRRSA Retention Stipends,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24314,CRRSA Sick Leave Program,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24316,USDE CRRSA ESSER II SHARE ID -PED24316GY201 - Air Quality,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24320,COVID19 - EMPGS,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24330,ARP ESSER III,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24332,"ARP, ESSER III, SEA Reserve",20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24333,ESSER 3/Near Peer Tutoring,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24339,APR-ESSR Virtual Course,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24341,ESSR III Round 1,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24342,ESSR III Round 2,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24344,ESSR III Student and Staff Development,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24346,Individuals with Disabilities Education Act (IDEA)/Amercian Rescue Plan Act of 2021 (APR),20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24347,ESSR III Round 3,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24349,IDEA/Amercian Rescue Plan Act of 2021 (ARP) Preschool CFDA 84.173X,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24350,ARPA-Homeless Children and Youth (ARP-HCY),20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
24355,Homeless Emergency Rescue Fund 2 (ARP-HCY 2),20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25000,Federal Direct Grants,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25101,Colorado State University Drop-Out,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25102,Delinquency Prevention Program,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25103,Bilingual Ed USDE/Title VII,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25104,Professional Development,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25105,Ed Exchange NIS Secondary School Init,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25106,Project SERV,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25107,Teaching American History,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25108,AL-Outreach (TOPS) DOE,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25109,Billed/Comp School Grants USDE,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25110,Maternal/Child Health,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25111,FY24 to FY29 CLSD CFDA 84.371 - Comprehensive Literacy Development,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25112,Collaborative Research & Development,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25113,Comm Prosec/Proj Safe Neighborhoods,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25114,Early Reading First,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25115,Title VII Indian Ed,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25116,Rehab Services Demo & Training Pro,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25117,JTPA,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25118,Comm Partnership Demo Grant OSAP,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25119,Drug Free Schools & Community Emergency,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25120,Project Tales/Talking Tales,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25121,Violence Prevention Demonstration/USDE,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25122,Public Health Services Health Ed,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25123,Challenge Cost Share Program,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25124,Bilingual Ed Program Devel & Implement. Grants,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25125,Community Technology Centers,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25126,Title V Abstinence Ed DOH/PHD,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25127,Headstart,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25128,Schools with Sol,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25129,Title XX Health & Social Services,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25130,Collaborative Forest Restoration,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25131,Johnson O'Malley,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25132,Highway Safety Act NHTSA,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25133,Pres Teaching Award NSF,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25134,Transition into Apprenticeship DVR,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25135,Adv Placement Incentive Program NMHU,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25136,Action Grants,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25137,"General Education Projects ""Star Schools""",20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25138,Substance Abuse Prevention DOH,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25139,Improve Mental Health of Children,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25140,Economic Action Program,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25141,Child Care and Development Fund,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25142,Foreign Language Assistance,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25143,McAuliffe Fellowship,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25144,Carl D Perkins TVI,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25145,Impact Aid Special Education,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25146,Safe Routes to School /NMDOT,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25147,Impact Aid Indian Education,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25148,LBJ Space Center NASA,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25149,GRADS Child Care CYFD,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25150,Food Stamps Nutrition,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25151,National Endowment for the Arts,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25152,Title XIX MEDICAID 0/2 Years,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25153,Title XIX MEDICAID 3/21 Years,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25154,Even Start Migrant Ed,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25155,Title III USDE,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25156,Project Empower Families SED,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
25157,Child Care Block Grant CYFD,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
